2017/10/20 20:13:31 id: optimizer-sgd; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 1; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: sgd; name: optimizer; value: sgd;loss: 3.349644
2017/10/20 20:20:28 id: optimizer-adam; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 1; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: adam; name: optimizer; value: adam;loss: 2.592564
2017/10/20 20:40:40 id: sigma-0; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: adam; name: sigma; value: 0;loss: 0.857539
2017/10/20 20:50:23 id: sigma-0.5; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0.5; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: adam; name: sigma; value: 0.5;loss: 1.510027
2017/10/20 21:01:22 id: sigma-1; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 1; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: adam; name: sigma; value: 1;loss: 2.611386
2017/10/20 21:14:12 id: sigma-2; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 2; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: adam; name: sigma; value: 2;loss: 3.620512
2017/10/20 22:47:25 id: hidden_activation-tanh; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: tanh; output_activation: sigmoid; optimizer: adam; name: hidden_activation; value: tanh;loss: 0.859589
2017/10/20 22:57:34 id: hidden_activation-relu; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: relu; output_activation: sigmoid; optimizer: adam; name: hidden_activation; value: relu;loss: nan
2017/10/20 23:02:47 id: hidden_activation-elu; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: elu; output_activation: sigmoid; optimizer: adam; name: hidden_activation; value: elu;loss: nan
2017/10/20 23:08:00 id: hidden_activation-softplus; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: softplus; output_activation: sigmoid; optimizer: adam; name: hidden_activation; value: softplus;loss: nan
2017/10/20 23:13:08 id: hidden_activation-softsign; epoch: 10000; nr_points: 1000; sensors: [ 0  0 10  0]; sigma: 0; grid_width: 10; grid_height: 10; nh_1: 10; loss_function: categorical_crossentropy; hidden_activation: softsign; output_activation: sigmoid; optimizer: adam; name: hidden_activation; value: softsign;loss: 1.101809
